7.400000000000000355e+00,6.999999999999999556e-01,0.000000000000000000e+00,1.899999999999999911e+00,7.599999999999999811e-02,1.100000000000000000e+01,3.400000000000000000e+01,9.978000000000000203e-01,3.509999999999999787e+00,5.600000000000000533e-01,9.400000000000000355e+00,5.000000000000000000e+00
7.799999999999999822e+00,8.800000000000000044e-01,0.000000000000000000e+00,2.600000000000000089e+00,9.800000000000000377e-02,2.500000000000000000e+01,6.700000000000000000e+01,9.968000000000000194e-01,3.200000000000000178e+00,6.800000000000000488e-01,9.800000000000000711e+00,5.000000000000000000e+00
7.799999999999999822e+00,7.600000000000000089e-01,4.000000000000000083e-02,2.299999999999999822e+00,9.199999999999999845e-02,1.500000000000000000e+01,5.400000000000000000e+01,9.969999999999999973e-01,3.259999999999999787e+00,6.500000000000000222e-01,9.800000000000000711e+00,5.000000000000000000e+00
1.119999999999999929e+01,2.800000000000000266e-01,5.600000000000000533e-01,1.899999999999999911e+00,7.499999999999999722e-02,1.700000000000000000e+01,6.000000000000000000e+01,9.979999999999999982e-01,3.160000000000000142e+00,5.799999999999999600e-01,9.800000000000000711e+00,6.000000000000000000e+00
7.400000000000000355e+00,6.999999999999999556e-01,0.000000000000000000e+00,1.899999999999999911e+00,7.599999999999999811e-02,1.100000000000000000e+01,3.400000000000000000e+01,9.978000000000000203e-01,3.509999999999999787e+00,5.600000000000000533e-01,9.400000000000000355e+00,5.000000000000000000e+00
7.400000000000000355e+00,6.600000000000000311e-01,0.000000000000000000e+00,1.800000000000000044e+00,7.499999999999999722e-02,1.300000000000000000e+01,4.000000000000000000e+01,9.978000000000000203e-01,3.509999999999999787e+00,5.600000000000000533e-01,9.400000000000000355e+00,5.000000000000000000e+00
7.900000000000000355e+00,5.999999999999999778e-01,5.999999999999999778e-02,1.600000000000000089e+00,6.900000000000000577e-02,1.500000000000000000e+01,5.900000000000000000e+01,9.963999999999999524e-01,3.299999999999999822e+00,4.600000000000000200e-01,9.400000000000000355e+00,5.000000000000000000e+00
7.299999999999999822e+00,6.500000000000000222e-01,0.000000000000000000e+00,1.199999999999999956e+00,6.500000000000000222e-02,1.500000000000000000e+01,2.100000000000000000e+01,9.946000000000000396e-01,3.390000000000000124e+00,4.699999999999999734e-01,1.000000000000000000e+01,7.000000000000000000e+00
7.799999999999999822e+00,5.799999999999999600e-01,2.000000000000000042e-02,2.000000000000000000e+00,7.299999999999999545e-02,9.000000000000000000e+00,1.800000000000000000e+01,9.968000000000000194e-01,3.359999999999999876e+00,5.699999999999999512e-01,9.500000000000000000e+00,7.000000000000000000e+00
7.500000000000000000e+00,5.000000000000000000e-01,3.599999999999999867e-01,6.099999999999999645e+00,7.099999999999999367e-02,1.700000000000000000e+01,1.020000000000000000e+02,9.978000000000000203e-01,3.350000000000000089e+00,8.000000000000000444e-01,1.050000000000000000e+01,5.000000000000000000e+00
6.700000000000000178e+00,5.799999999999999600e-01,8.000000000000000167e-02,1.800000000000000044e+00,9.699999999999998901e-02,1.500000000000000000e+01,6.500000000000000000e+01,9.959000000000000075e-01,3.279999999999999805e+00,5.400000000000000355e-01,9.199999999999999289e+00,5.000000000000000000e+00
7.500000000000000000e+00,5.000000000000000000e-01,3.599999999999999867e-01,6.099999999999999645e+00,7.099999999999999367e-02,1.700000000000000000e+01,1.020000000000000000e+02,9.978000000000000203e-01,3.350000000000000089e+00,8.000000000000000444e-01,1.050000000000000000e+01,5.000000000000000000e+00
5.599999999999999645e+00,6.149999999999999911e-01,0.000000000000000000e+00,1.600000000000000089e+00,8.900000000000000966e-02,1.600000000000000000e+01,5.900000000000000000e+01,9.942999999999999616e-01,3.580000000000000071e+00,5.200000000000000178e-01,9.900000000000000355e+00,5.000000000000000000e+00
7.799999999999999822e+00,6.099999999999999867e-01,2.899999999999999800e-01,1.600000000000000089e+00,1.140000000000000041e-01,9.000000000000000000e+00,2.900000000000000000e+01,9.973999999999999533e-01,3.259999999999999787e+00,1.560000000000000053e+00,9.099999999999999645e+00,5.000000000000000000e+00
8.900000000000000355e+00,6.199999999999999956e-01,1.799999999999999933e-01,3.799999999999999822e+00,1.760000000000000175e-01,5.200000000000000000e+01,1.450000000000000000e+02,9.986000000000000432e-01,3.160000000000000142e+00,8.800000000000000044e-01,9.199999999999999289e+00,5.000000000000000000e+00
8.900000000000000355e+00,6.199999999999999956e-01,1.900000000000000022e-01,3.899999999999999911e+00,1.700000000000000122e-01,5.100000000000000000e+01,1.480000000000000000e+02,9.986000000000000432e-01,3.169999999999999929e+00,9.300000000000000488e-01,9.199999999999999289e+00,5.000000000000000000e+00
8.500000000000000000e+00,2.800000000000000266e-01,5.600000000000000533e-01,1.800000000000000044e+00,9.199999999999999845e-02,3.500000000000000000e+01,1.030000000000000000e+02,9.969000000000000083e-01,3.299999999999999822e+00,7.500000000000000000e-01,1.050000000000000000e+01,7.000000000000000000e+00
8.099999999999999645e+00,5.600000000000000533e-01,2.800000000000000266e-01,1.699999999999999956e+00,3.679999999999999938e-01,1.600000000000000000e+01,5.600000000000000000e+01,9.968000000000000194e-01,3.109999999999999876e+00,1.280000000000000027e+00,9.300000000000000711e+00,5.000000000000000000e+00
7.400000000000000355e+00,5.899999999999999689e-01,8.000000000000000167e-02,4.400000000000000355e+00,8.599999999999999312e-02,6.000000000000000000e+00,2.900000000000000000e+01,9.973999999999999533e-01,3.379999999999999893e+00,5.000000000000000000e-01,9.000000000000000000e+00,4.000000000000000000e+00
7.900000000000000355e+00,3.200000000000000067e-01,5.100000000000000089e-01,1.800000000000000044e+00,3.410000000000000253e-01,1.700000000000000000e+01,5.600000000000000000e+01,9.969000000000000083e-01,3.040000000000000036e+00,1.080000000000000071e+00,9.199999999999999289e+00,6.000000000000000000e+00
8.900000000000000355e+00,2.200000000000000011e-01,4.799999999999999822e-01,1.800000000000000044e+00,7.699999999999999900e-02,2.900000000000000000e+01,6.000000000000000000e+01,9.968000000000000194e-01,3.390000000000000124e+00,5.300000000000000266e-01,9.400000000000000355e+00,6.000000000000000000e+00
7.599999999999999645e+00,3.900000000000000133e-01,3.099999999999999978e-01,2.299999999999999822e+00,8.199999999999998956e-02,2.300000000000000000e+01,7.100000000000000000e+01,9.981999999999999762e-01,3.520000000000000018e+00,6.500000000000000222e-01,9.699999999999999289e+00,5.000000000000000000e+00
7.900000000000000355e+00,4.299999999999999933e-01,2.099999999999999922e-01,1.600000000000000089e+00,1.059999999999999970e-01,1.000000000000000000e+01,3.700000000000000000e+01,9.966000000000000414e-01,3.169999999999999929e+00,9.100000000000000311e-01,9.500000000000000000e+00,5.000000000000000000e+00
8.500000000000000000e+00,4.899999999999999911e-01,1.100000000000000006e-01,2.299999999999999822e+00,8.400000000000000522e-02,9.000000000000000000e+00,6.700000000000000000e+01,9.968000000000000194e-01,3.169999999999999929e+00,5.300000000000000266e-01,9.400000000000000355e+00,5.000000000000000000e+00
6.900000000000000355e+00,4.000000000000000222e-01,1.400000000000000133e-01,2.399999999999999911e+00,8.500000000000000611e-02,2.100000000000000000e+01,4.000000000000000000e+01,9.968000000000000194e-01,3.430000000000000160e+00,6.300000000000000044e-01,9.699999999999999289e+00,6.000000000000000000e+00
6.299999999999999822e+00,3.900000000000000133e-01,1.600000000000000033e-01,1.399999999999999911e+00,8.000000000000000167e-02,1.100000000000000000e+01,2.300000000000000000e+01,9.955000000000000515e-01,3.339999999999999858e+00,5.600000000000000533e-01,9.300000000000000711e+00,5.000000000000000000e+00
7.599999999999999645e+00,4.099999999999999756e-01,2.399999999999999911e-01,1.800000000000000044e+00,8.000000000000000167e-02,4.000000000000000000e+00,1.100000000000000000e+01,9.961999999999999744e-01,3.279999999999999805e+00,5.899999999999999689e-01,9.500000000000000000e+00,5.000000000000000000e+00
